Warehouse,Item,Item Description,Inventory Status,Lot,On Hand Qty,Allocated Qty,In Transit Qty,Company,Aging Date
Brampton,MW1122BK,MW1122BK,Available,,70,0,0,AMFLAT,2026-01-14T19:33:38.437
Brampton,MW1236BLK,MW1236BLK,Available,,60,0,0,AMFLAT,2026-01-14T19:33:47.217
Brampton,MW1319WH,MW1319WH,Available,,20,0,0,AMFLAT,2026-03-17T16:00:16.16
Brampton,MW1319WH,MW1319WH,Available,,10,10,0,AMFLAT,2026-03-17T16:00:16.16
Brampton,MW1414BK,MW1414BK,Available,,60,0,0,AMFLAT,2026-03-17T16:00:25.363
Brampton,MW1414BK,MW1414BK,Available,,30,0,0,AMFLAT,2026-03-17T16:00:25.363
Brampton,MW8511BKC,MW8511BKC,Available,,120,0,0,AMFLAT,2026-03-17T16:00:33.287
Brampton,MW8511WH,MW8511WH,Available,,108,0,0,AMFLAT,2026-03-17T16:00:42.777
Brampton,PHFR28SMALL,PHFR28SMALL,Available,,104,0,0,AMFLAT,2026-01-14T19:19:13.29
Brampton,PHFR50LARGE,PHFR50LARGE,Available,,111,0,0,AMFLAT,2026-01-14T19:19:06.98
Brampton,PHFR50LARGE,PHFR50LARGE,Available,,78,0,0,AMFLAT,2026-01-14T19:19:06.98
Brampton,PRO_MW1114BK,PRO_MW1114BK,Available,,60,60,0,AMFLAT,2026-01-14T19:34:43.79
Brampton,PRO_MW1114BK,PRO_MW1114BK,Available,,312,0,0,AMFLAT,2026-01-14T19:34:43.79
Brampton,PRO_MW1114BK,PRO_MW1114BK,Available,,48,0,0,AMFLAT,2026-01-14T19:34:43.79
Brampton,PRO_MW1114BK,PRO_MW1114BK,Available,,324,0,0,AMFLAT,2026-01-14T19:34:43.79
Brampton,PRO_MW1114WH,PRO_MW1114WH,Available,,96,0,0,AMFLAT,2026-01-14T19:34:34.303
Brampton,PRO_MW1114WH,PRO_MW1114WH,Available,,276,0,0,AMFLAT,2026-01-14T19:34:34.303
Brampton,PS1114BK8102PK,PS1114BK8102PK,Available,,120,0,0,AMFLAT,2026-01-16T22:20:17.673
Brampton,PS1114BK8102PK,PS1114BK8102PK,Available,,144,0,0,AMFLAT,2026-01-16T22:20:17.673
Brampton,PS1218BLK5PKNOMAT,PS1218BLK5PKNOMAT,Available,,55,0,0,AMFLAT,2026-01-15T22:35:25.51
Brampton,PS1218BLK5PKNOMAT,PS1218BLK5PKNOMAT,Available,,60,0,0,AMFLAT,2026-01-15T22:35:25.51
Brampton,PS1218BLK5PKNOMAT,PS1218BLK5PKNOMAT,Available,,60,0,0,AMFLAT,2026-01-15T22:35:25.51
